Location	Experiment type	File	Day	Sample	Day_sample	Patient	Repeat			
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/Compensation_Controls_640_780-60_Stained_Control.fcs	Control				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/Compensation_Controls_Unstained_Control.fcs	Control				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD14_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD19_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD21_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD22_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD24_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD27_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD3_CD10_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_CD38_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_IgD_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_IGM_fmo.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_L_D_fmo.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03Jun24_ALDP002_PBMC_+_CD19+_Stim_IL2+_CpG/Day_5_ALDP002_Prolif_fmo.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD14_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD19_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD21_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD22_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD24_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD27_FMO.fcs	FMO				_					
".//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD3,2f,CD10_FMO.fcs"	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_CD38_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_IgD_FMO.fcs	FMO				_					
.//ALDP002_PBMC_+_B_cells_29May24_to_03Jun24/03May24_Day_0_ALDP002/03May24_Day_0_ALDP002_IGM_fmo.fcs	FMO				_					
