Location	Experiment type	File	Day	Sample	Day_sample	Patient	Repeat			
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD19_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD21_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD22_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD24_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD27_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_CD38_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_IgD_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_IgM_FMO.fcs	FMO				_					
".//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD14_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD19_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD21_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD22_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD24_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD27_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_CD38_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_IgD_FMO.fcs	FMO				_					
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_IgM_FMO.fcs	FMO				_					
".//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD14_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD19_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD21_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD22_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD24_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD27_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_CD38_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_IgD_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_IgM_FMO.fcs	FMO				_					
".//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_0/FCS/27Sep24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_0/Day_0_FMHP024_026_027_029_and_FMSP065_068_069_070_L,2f,D_FMO.fcs"	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD14_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD19_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD21_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD22_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD24_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD27_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD3_CD10_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_CD38_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_IgD_FMO.fcs	FMO				_					
.//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_IgM_FMO.fcs	FMO				_					
".//FMHP024_026_027_029_and_FMSP065_068_069_070/Day_5/FCS/02Oct24_FMHP024_026_027_029_and_FMSP065_068_069_070_Day_5/Day_5_FMHP024_026_027_029_and_FMSP065_068_069_070_L,2f,D_FMO.fcs"	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD14_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD19_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD21_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD22_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD24_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD27_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD3_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_CD38_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_IgD_FMO.fcs	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_IGM_fmo.fcs	FMO				_					
".//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_L,2f,D_fmo.fcs"	FMO				_					
.//PBMC_IL2CPG_stim_from_21Mar24_to_25Mar24/FCS_Files/PBMC_IL2CPG_stim_25Mar24/240325_FMS-CPG_CPG_IL-2_stim_prolif_fmo.fcs	FMO				_					
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_FMHP013_A.fcs	FMS data	Day 0 FMHP013 and FMSP054_FMHP013 A.fcs	Day 0	FMHP013_A	Day_0_FMHP013_A	FMHP013	A			6
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_FMHP013_B.fcs	FMS data	Day 0 FMHP013 and FMSP054_FMHP013 B.fcs	Day 0	FMHP013_B	Day_0_FMHP013_B	FMHP013	B			6
.//FMHP013_and_FMSP054/Day_0/FMS_Files/11Jul24_FMHP013_and_FMSP054_Day_0/Day_0_FMHP013_and_FMSP054_FMHP013_C.fcs	FMS data	Day 0 FMHP013 and FMSP054_FMHP013 C.fcs	Day 0	FMHP013_C	Day_0_FMHP013_C	FMHP013	C			6
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_FMHP013_B.fcs	FMS data	Day 6 FMHP013 and FMSP054_FMHP013 B.fcs	Day 5	FMHP013_B	Day_6_FMHP013_B	FMHP013	B			6
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_FMHP013_C.fcs	FMS data	Day 6 FMHP013 and FMSP054_FMHP013 C.fcs	Day 5	FMHP013_C	Day_6_FMHP013_C	FMHP013	C			6
.//FMHP013_and_FMSP054/Day_5/FCS/16Jul24_FMHP013_and_FMSP054_Day_5/Day_6_FMHP013_and_FMSP054_FMHP013_A.fcs	FMS data	Day 6 FMHP013 and FMSP054_FMHP013 A.fcs	Day 5	FMHP013_A	Day_6_FMHP013_A	FMHP013	A			6
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_FMHP014_A.fcs	FMS data	Day 0 FMHP014 and FMSP055_FMHP014 A.fcs	Day 0	FMHP014_A	Day_0_FMHP014_A	FMHP014	A			6
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_FMHP014_B.fcs	FMS data	Day 0 FMHP014 and FMSP055_FMHP014 B.fcs	Day 0	FMHP014_B	Day_0_FMHP014_B	FMHP014	B			6
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_FMHP014_C.fcs	FMS data	Day 0 FMHP014 and FMSP055_FMHP014 C.fcs	Day 0	FMHP014_C	Day_0_FMHP014_C	FMHP014	C			6
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_FMHP014_A.fcs	FMS data	Day 5 FMHP014 and FMSP055_FMHP014 A.fcs	Day 5	FMHP014_A	Day_5_FMHP014_A	FMHP014	A			6
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_FMHP014_B.fcs	FMS data	Day 5 FMHP014 and FMSP055_FMHP014 B.fcs	Day 5	FMHP014_B	Day_5_FMHP014_B	FMHP014	B			6
.//FMHP014_and_FMSP055/Day_5/24Jul24_FMHP014_and_FMSP055_Day_5/Day_5_FMHP014_and_FMSP055_FMHP014_C.fcs	FMS data	Day 5 FMHP014 and FMSP055_FMHP014 C.fcs	Day 5	FMHP014_C	Day_5_FMHP014_C	FMHP014	C			6
.//FMHP014_and_FMSP055/Day_0/19Jul24_FMHP014_and_FMSP055_Day_0/Day_0_FMHP014_and_FMSP055_FMHP014_Prolif_Check.fcs	Proliferation check				Day_0_FMHP014_and_FMSP055_FMHP014_Prolif_Check	FMHP014	7			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP015_A.fcs	FMS data	Day 0 FMHP015_16 and FMSP056_057_FMHP015 A.fcs	Day 0	FMHP015_A	Day_0_FMHP015_A	FMHP015	A			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP015_B.fcs	FMS data	Day 0 FMHP015_16 and FMSP056_057_FMHP015 B.fcs	Day 0	FMHP015_B	Day_0_FMHP015_B	FMHP015	B			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP015_C.fcs	FMS data	Day 0 FMHP015_16 and FMSP056_057_FMHP015 C.fcs	Day 0	FMHP015_C	Day_0_FMHP015_C	FMHP015	C			7
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_FMHP015_A.fcs	FMS data	Day 5 FMHP015_16 and FMSP056_057_FMHP015 A.fcs	Day 5	FMHP015_A	Day_5_FMHP015_A	FMHP015	A			7
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_FMHP015_B.fcs	FMS data	Day 5 FMHP015_16 and FMSP056_057_FMHP015 B.fcs	Day 5	FMHP015_B	Day_5_FMHP015_B	FMHP015	B			7
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_FMHP015_C.fcs	FMS data	Day 5 FMHP015_16 and FMSP056_057_FMHP015 C.fcs	Day 5	FMHP015_C	Day_5_FMHP015_C	FMHP015	C			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP015_Prolif_Check.fcs	Proliferation check				Day_0_FMHP015_16_and_FMSP056_057_FMHP015_Prolif_Check	FMHP015	7			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP016_A.fcs	FMS data	Day 0 FMHP015_16 and FMSP056_057_FMHP016 A.fcs	Day 0	FMHP016_A	Day_0_FMHP016_A	FMHP016	A			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP016_B.fcs	FMS data	Day 0 FMHP015_16 and FMSP056_057_FMHP016 B.fcs	Day 0	FMHP016_B	Day_0_FMHP016_B	FMHP016	B			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP016_C.fcs	FMS data	Day 0 FMHP015_16 and FMSP056_057_FMHP016 C.fcs	Day 0	FMHP016_C	Day_0_FMHP016_C	FMHP016	C			7
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_FMHP016_A.fcs	FMS data	Day 5 FMHP015_16 and FMSP056_057_FMHP016 A.fcs	Day 5	FMHP016_A	Day_5_FMHP016_A	FMHP016	A			7
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_FMHP016_B.fcs	FMS data	Day 5 FMHP015_16 and FMSP056_057_FMHP016 B.fcs	Day 5	FMHP016_B	Day_5_FMHP016_B	FMHP016	B			7
.//FMHP015_016_and_FMSP056_057/Day_5/FCS/01Aug24_FMHP015_016_and_FMSP056_057_Day_5/Day_5_FMHP015_16_and_FMSP056_057_FMHP016_C.fcs	FMS data	Day 5 FMHP015_16 and FMSP056_057_FMHP016 C.fcs	Day 5	FMHP016_C	Day_5_FMHP016_C	FMHP016	C			7
.//FMHP015_016_and_FMSP056_057/Day_0/FCS/27Jul24_FMHP015_016_and_FMSP056_057_Day_0/Day_0_FMHP015_16_and_FMSP056_057_FMHP016_Prolif_Check.fcs	Proliferation check				Day_0_FMHP015_16_and_FMSP056_057_FMHP016_Prolif_Check	FMHP016	7			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP017_A.fcs	FMS data	Day 0 FMHP017_018 and FMSP059_060_FMHP017 A.fcs	Day 0	FMHP017_A	Day_0_FMHP017_A	FMHP017	A			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP017_B.fcs	FMS data	Day 0 FMHP017_018 and FMSP059_060_FMHP017 B.fcs	Day 0	FMHP017_B	Day_0_FMHP017_B	FMHP017	B			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP017_C.fcs	FMS data	Day 0 FMHP017_018 and FMSP059_060_FMHP017 C.fcs	Day 0	FMHP017_C	Day_0_FMHP017_C	FMHP017	C			7
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_FMHP017_A.fcs	FMS data	Day 5 FMHP017_018 and FMSP059_060_FMHP017 A.fcs	Day 5	FMHP017_A	Day_5_FMHP017_A	FMHP017	A			7
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_FMHP017_B.fcs	FMS data	Day 5 FMHP017_018 and FMSP059_060_FMHP017 B.fcs	Day 5	FMHP017_B	Day_5_FMHP017_B	FMHP017	B			7
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_FMHP017_C.fcs	FMS data	Day 5 FMHP017_018 and FMSP059_060_FMHP017 C.fcs	Day 5	FMHP017_C	Day_5_FMHP017_C	FMHP017	C			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP017_Prolif_Check.fcs	Proliferation check				Day_0_FMHP017_018_and_FMSP059_060_FMHP017_Prolif_Check	FMHP017	7			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP018_A.fcs	FMS data	Day 0 FMHP017_018 and FMSP059_060_FMHP018 A.fcs	Day 0	FMHP018_A	Day_0_FMHP018_A	FMHP018	A			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP018_B.fcs	FMS data	Day 0 FMHP017_018 and FMSP059_060_FMHP018 B.fcs	Day 0	FMHP018_B	Day_0_FMHP018_B	FMHP018	B			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP018_C.fcs	FMS data	Day 0 FMHP017_018 and FMSP059_060_FMHP018 C.fcs	Day 0	FMHP018_C	Day_0_FMHP018_C	FMHP018	C			7
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_FMHP018_A.fcs	FMS data	Day 5 FMHP017_018 and FMSP059_060_FMHP018 A.fcs	Day 5	FMHP018_A	Day_5_FMHP018_A	FMHP018	A			7
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_FMHP018_B.fcs	FMS data	Day 5 FMHP017_018 and FMSP059_060_FMHP018 B.fcs	Day 5	FMHP018_B	Day_5_FMHP018_B	FMHP018	B			7
.//FMHP017_018_and_FMSP059_060/Day_5/FCS/13Aug24_FMHP017_018_and_FMSP059_060_Day_5/Day_5_FMHP017_018_and_FMSP059_060_FMHP018_C.fcs	FMS data	Day 5 FMHP017_018 and FMSP059_060_FMHP018 C.fcs	Day 5	FMHP018_C	Day_5_FMHP018_C	FMHP018	C			7
.//FMHP017_018_and_FMSP059_060/Day_0/FCS/08Aug24_FMHP017_018_and_FMSP059_060_Day_0/Day_0_FMHP017_018_and_FMSP059_060_FMHP018_Prolif_Check.fcs	Proliferation check				Day_0_FMHP017_018_and_FMSP059_060_FMHP018_Prolif_Check	FMHP018	7			7
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_FMHP019_A.fcs	FMS data	Day 0 FMHP019_022 and FMSP062_064_FMHP019 A.fcs	Day 0	FMHP019_A	Day_0_FMHP019_A	FMHP019	A			7
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_FMHP019_B.fcs	FMS data	Day 0 FMHP019_022 and FMSP062_064_FMHP019 B.fcs	Day 0	FMHP019_B	Day_0_FMHP019_B	FMHP019	B			7
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_FMHP019_C.fcs	FMS data	Day 0 FMHP019_022 and FMSP062_064_FMHP019 C.fcs	Day 0	FMHP019_C	Day_0_FMHP019_C	FMHP019	C			7
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_FMHP019_A.fcs	FMS data	Day 5 FMHP019_022 and FMSP062_064_FMHP019 A.fcs	Day 5	FMHP019_A	Day_5_FMHP019_A	FMHP019	A			7
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_FMHP019_B.fcs	FMS data	Day 5 FMHP019_022 and FMSP062_064_FMHP019 B.fcs	Day 5	FMHP019_B	Day_5_FMHP019_B	FMHP019	B			7
.//FMHP019_022_and_FMSP062_064/Day_5/FCS/30Sep24_FMHP019_22_and_FMSP062_064_Day_5/Day_5_FMHP019_022_and_FMSP062_064_FMHP019_C.fcs	FMS data	Day 5 FMHP019_022 and FMSP062_064_FMHP019 C.fcs	Day 5	FMHP019_C	Day_5_FMHP019_C	FMHP019	C			7
.//FMHP019_022_and_FMSP062_064/Day_0/FCS/25Sep24_FMHP019_022_and_FMSP062_064_Day_0/Day_0_FMHP019_022_and_FMSP062_064_FMHP019_Prolif_Check.fcs	Proliferation check				Day_0_FMHP019_022_and_FMSP062_064_FMHP019_Prolif_Check	FMHP019	7			7
